c instance by G2
c solution = 100010101110010100010100011
c Known solution cost is 1353 
p cnf 27 40
w 66 63 33 43 74 61 9 80 64 19 33 44 31 65 9 9 52 43 77 76 34 64 83 95 20 90 16
26 -13 -9 0
-1 -3 23 0
10 -6 -21 0
26 -27 4 0
16 13 -26 0
-17 -27 -26 0
-14 -6 -5 0
12 4 -25 0
27 26 -14 0
-14 9 2 0
13 7 -27 0
-2 -1 -19 0
4 1 24 0
27 2 12 0
2 -23 -5 0
8 -16 27 0
-14 26 13 0
19 -10 -12 0
-26 3 -19 0
24 -23 -6 0
-27 20 4 0
19 7 -3 0
-22 -9 27 0
12 -1 -18 0
-2 20 8 0
19 -2 -22 0
-1 -16 -13 0
-15 -20 -9 0
22 -14 6 0
11 25 24 0
-27 10 -14 0
-11 14 4 0
19 -4 24 0
15 2 -21 0
23 20 -22 0
-24 -10 8 0
-7 17 14 0
-8 22 27 0
-8 -27 4 0
25 19 5 0
