c instance by G2
c solution = 0100011011010011010001101110011001010
c Known solution cost is 2051 
p cnf 37 40
w 49 64 33 75 36 15 59 76 86 76 94 68 83 80 11 10 6 38 77 97 38 32 42 74 82 99 64 19 9 95 58 11 60 91 38 48 58
21 13 -20 0
-7 -36 -37 0
-6 8 7 0
-34 30 -10 0
29 -8 1 0
13 -30 9 0
-9 17 -11 0
-31 -35 -10 0
-25 6 -27 0
-16 28 27 0
-32 13 12 0
14 1 25 0
17 37 9 0
5 8 18 0
-10 22 -9 0
-19 -27 -2 0
-21 17 4 0
36 -34 -12 0
-17 11 33 0
-7 -36 -5 0
20 -34 -1 0
3 -26 -28 0
-12 -26 31 0
5 37 -29 0
-23 3 26 0
-9 -25 16 0
-4 -9 -27 0
21 10 24 0
24 34 -36 0
28 32 -3 0
23 -2 17 0
-15 -13 -26 0
4 -33 -16 0
37 15 -16 0
1 -14 -30 0
29 4 -32 0
3 12 -27 0
4 -24 5 0
-19 14 -10 0
14 29 2 0
